RUN_ID	SAMPLE_ID	PCT_PF_READS	PCT_Q30_R1	PCT_Q30_R2	COMPLETED_ALL_STEPS	FAILED_STEPS	STEPS_NOT_EXECUTED	CONTAMINATION_SCORE	CONTAMINATION_P_VALUE	MEDIAN_INSERT_SIZE	MEDIAN_EXON_COVERAGE	PCT_EXON_50X	USABLE_MSI_SITES	COVERAGE_MAD	MEDIAN_BIN_COUNT_CNV_TARGET	TOTAL_PF_READS	MEAN_FAMILY_SIZE	MEDIAN_TARGET_COVERAGE	PCT_CHIMERIC_READS	PCT_EXON_100X	PCT_READ_ENRICHMENT	PCT_USABLE_UMI_READS	MEAN_TARGET_COVERAGE	PCT_ALIGNED_READS	PCT_CONTAMINATION_EST	PCT_PF_UQ_READS	PCT_TARGET_0_4X_MEAN	PCT_TARGET_100X	PCT_TARGET_250X	MEDIAN_CV_GENE_500X	TOTAL_ON_TARGET_READS	PCT_ON_TARGET_READS	SCALED_MEDIAN_GENE_COVERAGE
LocalApp2_MetricsOutput	IPD2443-D01-P01-A08_P	81.2	94.4	93.4	TRUE	NA	NA	451	0.975	75	48	46.4	0	0.134	0.8	45790832	12.1	48.0	1.72	0.4	79.1	99.9	47.5	98.1	6.7	100.0	96.1	0.4	0.0	NA	NA	NA	NA
LocalApp2_MetricsOutput	IPD2443-R03-P01-A08_P	81.2	94.4	93.4	TRUE	NA	NA	NA	NA	87	NA	NA	NA	NA	NA	16815140	NA	NA	0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.03	15968969	95.0	2931.2
LocalApp2_MetricsOutput	IPD2444-D01-r01-A25_P	81.2	94.4	93.4	TRUE	NA	NA	11837	0.000	96	686	99.3	106	0.100	9.5	109125694	2.6	673.0	1.66	98.8	80.6	99.8	682.6	98.5	10.7	100.0	94.7	97.9	95.3	NA	NA	NA	NA
LocalApp2_MetricsOutput	IPD2444-R03-r01-A25_P	81.2	94.4	93.4	TRUE	NA	NA	NA	NA	114	NA	NA	NA	NA	NA	27593826	NA	NA	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.36	25961918	94.1	5742.4
LocalApp2_MetricsOutput	IPD2445-D01-D01-A09_P	81.2	94.4	93.4	TRUE	NA	NA	328	1.000	98	524	99.2	102	0.092	7.2	88088300	2.7	515.0	0.87	98.5	78.2	99.9	509.8	97.6	0.5	100.0	95.0	97.8	92.4	NA	NA	NA	NA
LocalApp2_MetricsOutput	IPD2445-R03-D01-A09_P	81.2	94.4	93.4	TRUE	NA	NA	NA	NA	106	NA	NA	NA	NA	NA	27548330	NA	NA	0.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.00	25762611	93.5	5185.8
LocalApp2_MetricsOutput	IPD2448-D01-P01-A10_P	81.2	94.4	93.4	TRUE	NA	NA	421	1.000	98	504	99.0	82	0.117	6.9	86663392	2.6	495.0	1.03	98.2	78.2	99.9	511.1	95.2	1.0	100.0	93.2	97.2	90.2	NA	NA	NA	NA
LocalApp2_MetricsOutput	IPD2448-D01-P02-A15_P	81.2	94.4	93.4	TRUE	NA	NA	400	1.000	86	249	99.1	54	0.116	3.7	86780834	4.7	236.0	1.84	96.4	80.6	99.9	274.7	98.7	0.8	100.0	93.3	94.7	45.0	NA	NA	NA	NA
LocalApp2_MetricsOutput	IPD2448-R03-P01-A10_P	81.2	94.4	93.4	TRUE	NA	NA	NA	NA	120	NA	NA	NA	NA	NA	24866836	NA	NA	0.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.18	23438908	94.3	5104.4
LocalApp2_MetricsOutput	IPD2448-R03-P02-A15_P	81.2	94.4	93.4	TRUE	NA	NA	NA	NA	112	NA	NA	NA	NA	NA	26987650	NA	NA	0.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.70	25231486	93.5	5277.4
