SAMPLE_ID	RUN_ID_dragen	PCT_PF_READS_dragen	PCT_Q30_R1_dragen	PCT_Q30_R2_dragen	COMPLETED_ALL_STEPS_dragen	FAILED_STEPS_dragen	STEPS_NOT_EXECUTED_dragen	CONTAMINATION_SCORE_dragen	MEDIAN_INSERT_SIZE_dragen	MEDIAN_EXON_COVERAGE_dragen	PCT_EXON_50X_dragen	PCT_CHIMERIC_READS_dragen	USABLE_MSI_SITES_dragen	GENE_SCALED_MAD_dragen	MEDIAN_BIN_COUNT_CNV_TARGET_dragen	PCT_TARGET_HRD_50X_dragen	EXCESSIVE_TF_dragen	MEDIAN_CV_GENE_500X_dragen	TOTAL_ON_TARGET_READS_dragen	TOTAL_PF_READS_dragen	MEAN_FAMILY_SIZE_dragen	MEDIAN_TARGET_COVERAGE_dragen	PCT_EXON_100X_dragen	PCT_READ_ENRICHMENT_dragen	PCT_USABLE_UMI_READS_dragen	MEAN_TARGET_COVERAGE_dragen	PCT_ALIGNED_READS_dragen	PCT_CONTAMINATION_EST_dragen	PCT_TARGET_0_4X_MEAN_dragen	PCT_TARGET_50X_dragen	PCT_TARGET_100X_dragen	PCT_TARGET_250X_dragen	PCT_SOFT_CLIPPED_BASES_dragen	PCT_Q30_BASES_dragen	ALLELE_DOSAGE_RATIO_dragen	MEDIAN_TARGET_HRD_COVERAGE_dragen	PCT_ON_TARGET_READS_dragen	SCALED_MEDIAN_GENE_COVERAGE_dragen	GENE_MEDIAN_COVERAGE_dragen	GENE_ABOVE_MEDIAN_CUTOFF_dragen	RNA_PCT_Q30_BASES_dragen
TVD0016	Dragen_V2_MetricsOutput	NA	NA	NA	TRUE	NA	NA	300	148	1024	99.8	0.11	117	0.066	9.3	99.6	0	NA	NA	95960542	1.2	947.0	99.8	63.2	99.7	929.2	99.3	17.0	92.7	99.7	99.4	97.0	2.16	90.95	50.000	284.0	NA	NA	NA	NA	NA
TVD0014	Dragen_V2_MetricsOutput	NA	NA	NA	TRUE	NA	NA	NA	150	NA	NA	0.46	NA	NA	NA	NA	NA	0.48	11889549	16645676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.18	NA	NA	NA	71.4	2682.5	966.24	42	90.60
