TruSight Oncology 500 - Metrics Output																																		
For Research Use Only. Not for use in diagnostic procedures.																																		
																																		
[Header]																																		
Output Date	2025-04-06																																	
Output Time	05:30:45																																	
Workflow Version	ruo-2.2.0.12																																	
																																		
MEDIAN_EXON_COVERAGE (Count)	150	NA	271	NA	492	463	NA	539	NA	531	NA	268	NA	467	NA	553	NA	510	NA	624	NA	502	NA	411	NA	371	NA	571	NA	451	NA	486	NA	NA
PCT_EXON_50X (%)	90.0	NA	99.1	NA	99.1	99.3	NA	99.1	NA	99.3	NA	98.1	NA	98.6	NA	99.2	NA	99.3	NA	99.2	NA	99.2	NA	97.9	NA	99.5	NA	99.3	NA	99.1	NA	98.7	NA	NA
																																		
[DNA Library QC Metrics for MSI]																																		
Metric (UOM)	LSL Guideline	USL Guideline	IPD1693-D06-P02-A23_P	IPD1693-R03-P02-A23_P	IPD1712-D06-d11-A06_P	IPD1766-D06-P02-A03_P	IPD1766-R03-P02-A03_P	IPD1781-D06-P01-A12_P	IPD1781-R03-P01-A12_P	IPD1782-D06-P01-A15_P	IPD1782-R03-P01-A15_P	IPD1787-D06-d01-A18_P	IPD1787-R03-d01-A18_P	IPD1788-D06-P01-A04_P	IPD1788-R03-P01-A04_P	IPD1789-D06-d01-A09_P	IPD1789-R03-d01-A09_P	IPD1792-D06-P01-A15_P	IPD1792-R03-P01-A15_P	IPD1793-D06-R01-A18_P	IPD1793-R03-R01-A18_P	IPD1795-D06-R01-A15_P	IPD1795-R03-R01-A15_P	IPD1797-D06-P01-A08_P	IPD1797-R03-P01-A08_P	IPD1799-D06-P01-A23_P	IPD1799-R03-P01-A23_P	IPD1804-D06-P01-A16_P	IPD1804-R03-P01-A16_P	IPD1805-D06-d01-A23_P	IPD1805-R03-d01-A23_P	IPD1809-D06-d01-A23_P	IPD1809-R03-d01-A23_P	IPD1812-R03-P01-A08_P
USABLE_MSI_SITES (Count)	40	NA	108	NA	114	116	NA	122	NA	123	NA	90	NA	117	NA	96	NA	112	NA	117	NA	118	NA	115	NA	116	NA	112	NA	108	NA	84	NA	NA
																																		
[DNA Library QC Metrics for CNV]																																		
Metric (UOM)	LSL Guideline	USL Guideline	IPD1693-D06-P02-A23_P	IPD1693-R03-P02-A23_P	IPD1712-D06-d11-A06_P	IPD1766-D06-P02-A03_P	IPD1766-R03-P02-A03_P	IPD1781-D06-P01-A12_P	IPD1781-R03-P01-A12_P	IPD1782-D06-P01-A15_P	IPD1782-R03-P01-A15_P	IPD1787-D06-d01-A18_P	IPD1787-R03-d01-A18_P	IPD1788-D06-P01-A04_P	IPD1788-R03-P01-A04_P	IPD1789-D06-d01-A09_P	IPD1789-R03-d01-A09_P	IPD1792-D06-P01-A15_P	IPD1792-R03-P01-A15_P	IPD1793-D06-R01-A18_P	IPD1793-R03-R01-A18_P	IPD1795-D06-R01-A15_P	IPD1795-R03-R01-A15_P	IPD1797-D06-P01-A08_P	IPD1797-R03-P01-A08_P	IPD1799-D06-P01-A23_P	IPD1799-R03-P01-A23_P	IPD1804-D06-P01-A16_P	IPD1804-R03-P01-A16_P	IPD1805-D06-d01-A23_P	IPD1805-R03-d01-A23_P	IPD1809-D06-d01-A23_P	IPD1809-R03-d01-A23_P	IPD1812-R03-P01-A08_P
COVERAGE_MAD (Count)	0.000	0.210	0.098	NA	0.181	0.089	NA	0.105	NA	0.166	NA	0.235	NA	0.155	NA	0.112	NA	0.111	NA	0.175	NA	0.140	NA	0.105	NA	0.110	NA	0.081	NA	0.126	NA	0.188	NA	NA
