TruSight Oncology 500 - Metrics Output																																		
For Research Use Only. Not for use in diagnostic procedures.																																		
																																		
[Header]																																		
Output Date	2025-03-23																																	
Output Time	00:58:30																																	
Workflow Version	ruo-2.2.0.12																																	
																																		
MEDIAN_EXON_COVERAGE (Count)	150	NA	522	NA	247	NA	84	NA	592	NA	NA	382	NA	NA	368	NA	505	NA	539	NA	218	NA	204	NA	588	239	NA	280	NA	408	NA	437	NA	606
PCT_EXON_50X (%)	90.0	NA	99.4	NA	98.8	NA	86.5	NA	99.0	NA	NA	98.8	NA	NA	98.8	NA	99.0	NA	99.1	NA	96.6	NA	98.3	NA	99.0	98.5	NA	98.6	NA	98.9	NA	99.0	NA	99.1
																																		
[DNA Library QC Metrics for MSI]																																		
Metric (UOM)	LSL Guideline	USL Guideline	IPD0086-D01-d02-A22_P	IPD0086-R03-d02-A22_P	IPD0781-D01-P91-A29-0015_P	IPD1704-R03-X11-A30_P	IPD1724-D01-r01-A09_P	IPD1724-R03-d01-A09_P	IPD1736-D01-X01-A08_P	IPD1736-R03-X01-A08_P	IPD1737-R03-d11-A24_P	IPD1747-D01-P02-A24_P	IPD1747-R03-P02-A24_P	IPD1752-R03-X11-M17_P	IPD1755-D01-P01-A12_P	IPD1755-R03-P01-A12_P	IPD1756-D01-D01-A00_P	IPD1756-R03-D01-A00_P	IPD1757-D01-d01-A23_P	IPD1757-R03-d01-A23_P	IPD1758-D01-D01-A24_P	IPD1758-R03-D01-A24_P	IPD1759-D01-D01-A09_P	IPD1759-R03-D01-A09_P	IPD1760-D01-P01-A08_P	IPD1761-D01-R01-A30_P	IPD1761-R03-R01-A30_P	IPD1764-D01-D01-A21_P	IPD1764-R03-D01-A21_P	IPD1767-D01-D01-A19_P	IPD1767-R03-D01-A19_P	IPD1768-D01-d01-A28_P	IPD1768-R03-d01-A28_P	IPD1777-D01-P01-A08_P
USABLE_MSI_SITES (Count)	40	NA	117	NA	22	NA	38	NA	121	NA	NA	69	NA	NA	91	NA	92	NA	117	NA	3	NA	78	NA	101	79	NA	38	NA	112	NA	83	NA	111
																																		
[DNA Library QC Metrics for CNV]																																		
Metric (UOM)	LSL Guideline	USL Guideline	IPD0086-D01-d02-A22_P	IPD0086-R03-d02-A22_P	IPD0781-D01-P91-A29-0015_P	IPD1704-R03-X11-A30_P	IPD1724-D01-r01-A09_P	IPD1724-R03-d01-A09_P	IPD1736-D01-X01-A08_P	IPD1736-R03-X01-A08_P	IPD1737-R03-d11-A24_P	IPD1747-D01-P02-A24_P	IPD1747-R03-P02-A24_P	IPD1752-R03-X11-M17_P	IPD1755-D01-P01-A12_P	IPD1755-R03-P01-A12_P	IPD1756-D01-D01-A00_P	IPD1756-R03-D01-A00_P	IPD1757-D01-d01-A23_P	IPD1757-R03-d01-A23_P	IPD1758-D01-D01-A24_P	IPD1758-R03-D01-A24_P	IPD1759-D01-D01-A09_P	IPD1759-R03-D01-A09_P	IPD1760-D01-P01-A08_P	IPD1761-D01-R01-A30_P	IPD1761-R03-R01-A30_P	IPD1764-D01-D01-A21_P	IPD1764-R03-D01-A21_P	IPD1767-D01-D01-A19_P	IPD1767-R03-D01-A19_P	IPD1768-D01-d01-A28_P	IPD1768-R03-d01-A28_P	IPD1777-D01-P01-A08_P
COVERAGE_MAD (Count)	0.000	0.210	0.089	NA	0.104	NA	0.198	NA	0.094	NA	NA	0.085	NA	NA	0.075	NA	0.118	NA	0.129	NA	0.165	NA	0.114	NA	0.113	0.140	NA	0.076	NA	0.103	NA	0.071	NA	0.080
MEDIAN_BIN_COUNT_CNV_TARGET (Count)	1.0	NA	7.0	NA	4.2	NA	1.3	NA	7.5	NA	NA	5.2	NA	NA	5.0	NA	6.4	NA	6.6	NA	3.4	NA	3.0	NA	7.4	4.5	NA	3.8	NA	5.8	NA	5.8	NA	7.8
																																		
[DNA Expanded Metrics]																																		
Metric (UOM)	LSL Guideline	USL Guideline	IPD0086-D01-d02-A22_P	IPD0086-R03-d02-A22_P	IPD0781-D01-P91-A29-0015_P	IPD1704-R03-X11-A30_P	IPD1724-D01-r01-A09_P	IPD1724-R03-d01-A09_P	IPD1736-D01-X01-A08_P	IPD1736-R03-X01-A08_P	IPD1737-R03-d11-A24_P	IPD1747-D01-P02-A24_P	IPD1747-R03-P02-A24_P	IPD1752-R03-X11-M17_P	IPD1755-D01-P01-A12_P	IPD1755-R03-P01-A12_P	IPD1756-D01-D01-A00_P	IPD1756-R03-D01-A00_P	IPD1757-D01-d01-A23_P	IPD1757-R03-d01-A23_P	IPD1758-D01-D01-A24_P	IPD1758-R03-D01-A24_P	IPD1759-D01-D01-A09_P	IPD1759-R03-D01-A09_P	IPD1760-D01-P01-A08_P	IPD1761-D01-R01-A30_P	IPD1761-R03-R01-A30_P	IPD1764-D01-D01-A21_P	IPD1764-R03-D01-A21_P	IPD1767-D01-D01-A19_P	IPD1767-R03-D01-A19_P	IPD1768-D01-d01-A28_P	IPD1768-R03-d01-A28_P	IPD1777-D01-P01-A08_P
TOTAL_PF_READS (Count)	NA	NA	121481898	NA	104292786	NA	79805322	NA	93669592	NA	NA	80081506	NA	NA	90122470	NA	84838682	NA	90452418	NA	83080276	NA	91313238	NA	83695292	79696356	NA	79453468	NA	80433426	NA	104675136	NA	105547598
MEAN_FAMILY_SIZE (Count)	NA	NA	3.6	NA	4.4	NA	12.1	NA	2.4	NA	NA	3.5	NA	NA	4.2	NA	2.9	NA	2.9	NA	4.8	NA	7.0	NA	2.5	3.4	NA	4.9	NA	3.3	NA	4.3	NA	3.2
MEDIAN_TARGET_COVERAGE (Count)	NA	NA	496.0	NA	235.0	NA	84.0	NA	586.0	NA	NA	365.0	NA	NA	360.0	NA	487.0	NA	517.0	NA	205.0	NA	202.0	NA	569.0	230.0	NA	263.0	NA	402.0	NA	425.0	NA	594.0
PCT_CHIMERIC_READS (%)	NA	NA	1.05	NA	2.51	NA	0.69	NA	0.54	NA	NA	0.71	NA	NA	0.54	NA	0.90	NA	0.78	NA	0.48	NA	0.47	NA	0.50	2.73	NA	0.58	NA	0.27	NA	0.49	NA	0.25
PCT_EXON_100X (%)	NA	NA	98.9	NA	95.2	NA	35.8	NA	98.4	NA	NA	97.7	NA	NA	97.6	NA	98.3	NA	98.5	NA	87.9	NA	93.9	NA	98.3	94.8	NA	96.0	NA	98.0	NA	98.0	NA	98.4
PCT_READ_ENRICHMENT (%)	NA	NA	77.7	NA	72.0	NA	81.8	NA	81.6	NA	NA	80.7	NA	NA	80.9	NA	79.9	NA	77.5	NA	80.7	NA	82.0	NA	79.8	74.1	NA	83.5	NA	83.6	NA	83.6	NA	81.5
PCT_USABLE_UMI_READS (%)	NA	NA	99.9	NA	99.9	NA	99.9	NA	99.8	NA	NA	99.9	NA	NA	99.9	NA	99.9	NA	99.8	NA	99.9	NA	99.9	NA	99.8	99.9	NA	99.9	NA	99.9	NA	99.9	NA	99.8
MEAN_TARGET_COVERAGE (Count)	NA	NA	537.8	NA	257.0	NA	94.0	NA	733.5	NA	NA	363.7	NA	NA	349.9	NA	505.0	NA	555.6	NA	219.4	NA	201.2	NA	574.2	238.1	NA	260.2	NA	394.0	NA	419.9	NA	583.1
PCT_ALIGNED_READS (%)	NA	NA	97.6	NA	94.8	NA	98.1	NA	98.8	NA	NA	96.9	NA	NA	98.8	NA	98.3	NA	98.3	NA	92.6	NA	98.2	NA	98.0	97.6	NA	98.7	NA	98.8	NA	98.7	NA	98.8
PCT_CONTAMINATION_EST (%)	NA	NA	0.5	NA	1.2	NA	6.6	NA	0.6	NA	NA	0.6	NA	NA	0.6	NA	0.8	NA	2.5	NA	2.3	NA	5.9	NA	0.4	1.6	NA	0.8	NA	0.7	NA	0.5	NA	0.4
PCT_PF_UQ_READS (%)	NA	NA	100.0	NA	100.0	NA	100.0	NA	100.0	NA	NA	100.0	NA	NA	100.0	NA	100.0	NA	100.0	NA	100.0	NA	100.0	NA	100.0	100.0	NA	100.0	NA	100.0	NA	100.0	NA	100.0
PCT_TARGET_0.4X_MEAN (%)	NA	NA	95.5	NA	92.4	NA	93.5	NA	91.6	NA	NA	93.8	NA	NA	94.9	NA	94.0	NA	94.0	NA	87.5	NA	95.6	NA	93.8	93.6	NA	92.9	NA	95.0	NA	94.2	NA	94.2
PCT_TARGET_100X (%)	NA	NA	98.1	NA	92.9	NA	36.4	NA	97.9	NA	NA	96.4	NA	NA	96.8	NA	97.2	NA	98.0	NA	84.5	NA	92.8	NA	97.3	93.0	NA	93.6	NA	97.2	NA	97.1	NA	97.8
PCT_TARGET_250X (%)	NA	NA	93.8	NA	43.9	NA	1.4	NA	94.0	NA	NA	79.8	NA	NA	81.7	NA	91.1	NA	92.2	NA	35.7	NA	22.0	NA	93.0	42.0	NA	54.7	NA	87.3	NA	86.5	NA	93.5
																																		
[RNA Library QC Metrics]																																		
Metric (UOM)	LSL Guideline	USL Guideline	IPD0086-D01-d02-A22_P	IPD0086-R03-d02-A22_P	IPD0781-D01-P91-A29-0015_P	IPD1704-R03-X11-A30_P	IPD1724-D01-r01-A09_P	IPD1724-R03-d01-A09_P	IPD1736-D01-X01-A08_P	IPD1736-R03-X01-A08_P	IPD1737-R03-d11-A24_P	IPD1747-D01-P02-A24_P	IPD1747-R03-P02-A24_P	IPD1752-R03-X11-M17_P	IPD1755-D01-P01-A12_P	IPD1755-R03-P01-A12_P	IPD1756-D01-D01-A00_P	IPD1756-R03-D01-A00_P	IPD1757-D01-d01-A23_P	IPD1757-R03-d01-A23_P	IPD1758-D01-D01-A24_P	IPD1758-R03-D01-A24_P	IPD1759-D01-D01-A09_P	IPD1759-R03-D01-A09_P	IPD1760-D01-P01-A08_P	IPD1761-D01-R01-A30_P	IPD1761-R03-R01-A30_P	IPD1764-D01-D01-A21_P	IPD1764-R03-D01-A21_P	IPD1767-D01-D01-A19_P	IPD1767-R03-D01-A19_P	IPD1768-D01-d01-A28_P	IPD1768-R03-d01-A28_P	IPD1777-D01-P01-A08_P
MEDIAN_CV_GENE_500X (%)	0.00	93.00	NA	65.75	NA	59.05	NA	70.33	NA	63.45	59.43	NA	67.08	60.91	NA	65.18	NA	60.16	NA	59.04	NA	58.73	NA	66.41	NA	NA	69.29	NA	72.50	NA	75.85	NA	69.69	NA
TOTAL_ON_TARGET_READS (Count)	9000000	NA	NA	22055596	NA	21227551	NA	16963811	NA	17322621	22972165	NA	19408575	16755725	NA	22047016	NA	21567496	NA	25159247	NA	21814008	NA	15249617	NA	NA	14351634	NA	20646178	NA	21146232	NA	24831777	NA
MEDIAN_INSERT_SIZE (Count)	80	NA	NA	116	NA	113	NA	100	NA	105	117	NA	104	112	NA	106	NA	120	NA	120	NA	116	NA	98	NA	NA	90	NA	99	NA	98	NA	107	NA
																																		
[RNA Expanded Metrics]																																		
Metric (UOM)	LSL Guideline	USL Guideline	IPD0086-D01-d02-A22_P	IPD0086-R03-d02-A22_P	IPD0781-D01-P91-A29-0015_P	IPD1704-R03-X11-A30_P	IPD1724-D01-r01-A09_P	IPD1724-R03-d01-A09_P	IPD1736-D01-X01-A08_P	IPD1736-R03-X01-A08_P	IPD1737-R03-d11-A24_P	IPD1747-D01-P02-A24_P	IPD1747-R03-P02-A24_P	IPD1752-R03-X11-M17_P	IPD1755-D01-P01-A12_P	IPD1755-R03-P01-A12_P	IPD1756-D01-D01-A00_P	IPD1756-R03-D01-A00_P	IPD1757-D01-d01-A23_P	IPD1757-R03-d01-A23_P	IPD1758-D01-D01-A24_P	IPD1758-R03-D01-A24_P	IPD1759-D01-D01-A09_P	IPD1759-R03-D01-A09_P	IPD1760-D01-P01-A08_P	IPD1761-D01-R01-A30_P	IPD1761-R03-R01-A30_P	IPD1764-D01-D01-A21_P	IPD1764-R03-D01-A21_P	IPD1767-D01-D01-A19_P	IPD1767-R03-D01-A19_P	IPD1768-D01-d01-A28_P	IPD1768-R03-d01-A28_P	IPD1777-D01-P01-A08_P
PCT_CHIMERIC_READS (%)	NA	NA	NA	0.14	NA	0.15	NA	0.20	NA	0.20	0.15	NA	0.16	0.15	NA	0.14	NA	0.17	NA	0.09	NA	0.14	NA	0.13	NA	NA	0.16	NA	0.21	NA	0.16	NA	0.13	NA
PCT_ON_TARGET_READS (%)	NA	NA	NA	93.9	NA	93.8	NA	90.9	NA	95.2	94.6	NA	94.6	92.1	NA	94.4	NA	93.3	NA	95.0	NA	92.6	NA	93.2	NA	NA	92.0	NA	93.1	NA	93.6	NA	93.4	NA
SCALED_MEDIAN_GENE_COVERAGE (Count)	NA	NA	NA	4265.3	NA	4236.8	NA	3128.3	NA	3228.7	4834.3	NA	3609.3	3462.5	NA	4360.7	NA	4412.8	NA	5259.0	NA	4489.2	NA	2980.7	NA	NA	2557.5	NA	3735.7	NA	3650.8	NA	4796.7	NA
TOTAL_PF_READS (Count)	NA	NA	NA	23500130	NA	22642700	NA	18651818	NA	18203038	24283098	NA	20508770	18196232	NA	23357844	NA	23115668	NA	26495266	NA	23569588	NA	16362190	NA	NA	15599174	NA	22173848	NA	22587390	NA	26587844	NA
																																		
[Notes]																																		
Run Metrics	Run Metrics are not generated and values are reported as NA when starting analysis from FASTQ files.																																	
